subjID,gamble,gain,loss,cert,lambda,rho,mu,ip_m,ip_g
1,1,18,10,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,26,8,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,21,0,5,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,23,0,3,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,23,0,7,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,18,6,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,19,6,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,21,4,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,20,2,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,20,4,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,20,5,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,21,0,4,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,19,0,5,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,22,2,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,19,4,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,20,10,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,15,0,5,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,18,3,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,20,10,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,17,0,5,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,24,2,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,19,6,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,23,0,6,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,15,0,3,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,24,2,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,24,6,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,18,4,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,24,5,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,20,2,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,19,0,3,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,19,2,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,19,0,6,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,18,5,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,18,6,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,24,10,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,19,0,4,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,19,8,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,19,0,5,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,22,2,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,15,0,3,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,19,0,7,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,22,3,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,22,10,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,21,10,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,23,0,3,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,21,4,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,18,3,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,26,5,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,21,0,5,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,21,2,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,21,0,7,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,26,5,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,23,0,5,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,26,10,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,1,17,0,4,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
1,0,19,3,0,2.88481803806431,0.803414286648156,0.404069995642574,8.01766383774354,4.31933282452421
