,index,rt,response,subj_idx,trial_type
0,9,1.5341389669158862,0.0,0,101
1,40,0.8361389669196606,1.0,0,101
2,11,0.900138966919682,1.0,0,101
3,147,0.8454750135590872,1.0,0,102
4,48,1.1571389669157603,0.0,0,101
5,104,1.3574750135592581,1.0,0,102
6,93,1.3861389669158368,0.0,0,101
7,114,1.2554750135552166,0.0,0,102
8,56,0.8101389669196519,1.0,0,101
9,37,1.4861389669198777,1.0,0,101
10,105,1.195475013559204,1.0,0,102
11,30,0.9381389669196947,1.0,0,101
12,44,1.090138966915738,0.0,0,101
13,96,0.8901389669196786,1.0,0,101
14,85,0.945138966919697,1.0,0,101
15,6,0.8591389669156608,0.0,0,101
16,4,0.7751389669196402,1.0,0,101
17,53,1.2331389669197932,1.0,0,101
18,52,0.933138966919693,1.0,0,101
19,132,0.8714750135590958,1.0,0,102
20,23,1.7431389669199635,1.0,0,101
21,139,1.4734750135552894,0.0,0,102
22,91,0.9251389669196903,1.0,0,101
23,95,0.912138966919686,1.0,0,101
24,51,1.2051389669197838,1.0,0,101
25,58,0.8571389669156602,0.0,0,101
26,79,1.2661389669198042,1.0,0,101
27,128,0.9224750135551054,0.0,0,102
28,76,0.9061389669156765,0.0,0,101
29,77,1.710138966915945,0.0,0,101
30,31,1.5471389669158906,0.0,0,101
31,45,0.9071389669196843,1.0,0,101
32,47,1.7261389669159504,0.0,0,101
33,21,1.0611389669157283,0.0,0,101
34,123,1.9314750135554424,0.0,0,102
35,75,1.3931389669198466,1.0,0,101
36,46,0.8561389669196673,1.0,0,101
37,124,0.8074750135590745,1.0,0,102
38,84,1.15613896691576,0.0,0,101
39,103,1.1374750135551772,0.0,0,102
40,125,1.1004750135551649,0.0,0,102
41,112,1.8214750135554056,0.0,0,102
42,15,1.454138966919867,1.0,0,101
43,137,1.0194750135591453,1.0,0,102
44,12,0.8621389669196693,1.0,0,101
45,49,1.1221389669197561,1.0,0,101
46,140,1.5524750135593233,1.0,0,102
47,106,0.9014750135591059,1.0,0,102
48,101,1.5874750135553275,0.0,0,102
49,131,1.3964750135552637,0.0,0,102
50,60,0.8061389669196506,1.0,0,101
51,24,1.5771389669159006,0.0,0,101
52,94,0.8631389669156622,0.0,0,101
53,41,1.6121389669199198,1.0,0,101
54,39,0.7531389669196329,1.0,0,101
55,20,1.0011389669157083,0.0,0,101
56,98,1.8214750135554056,0.0,0,102
57,121,0.9184750135591115,1.0,0,102
58,71,0.9581389669156939,0.0,0,101
59,67,1.574138966919907,1.0,0,101
60,78,1.2631389669198032,1.0,0,101
61,108,0.8654750135590938,1.0,0,102
62,109,0.9414750135591192,1.0,0,102
63,138,1.4524750135592899,1.0,0,102
64,116,1.0624750135591596,1.0,0,102
65,66,1.2071389669197845,1.0,0,101
66,130,1.1764750135551902,0.0,0,102
67,74,1.198138966915774,0.0,0,101
68,115,1.154475013555183,0.0,0,102
69,0,0.843138966919663,1.0,0,101
